OBJECTID;profileId;TIPO;EPIPEDON;ENDOPEDON;ORDEN;SUBORDEN;GRANGRUPO;SUBGRUPO;FAMILIA_TE;LATITUD;LONGITUD;pH.0_30_spline;pH.30_100_spline;pH.0_30_Sum.Pond;pH.30_100_Sum.Pond;DEM;AnHill;Slo;Aspect;Plan_Curv;Prof_Curv;Conv_Ind;Closs_Dep;TotCatchAr;TWI;LSfactor;CHBL;CND;VD;RSP;MRVBF;MRRTF;TRI;visSky;SkyVF;Pos_Op;Neg_Op;TPI;clima;tipo_relieve;ndvi
1;AC-079;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;9.813694444;-74.8315;NA;NA;NA;NA;12.12117195;0.635015965;0.195907414;6.124548912;-9.21E-05;-0.000133834;-19.29466438;0;4715.395996;6.538827419;2.976267099;12.12117195;0;841.890625;0;0.460054845;1.26E-05;3.085879803;93.99916077;0.984031677;NA;NA;-8.372690201;3;4;0.688739504
2;AF-001;OBSERVACION;MOLICO;CAMBICO;MOLISOL;USTOLLS;HAPLUSTOLLS;FLUVENTIC HAPLUSTOLLS;FRANCA FINA;10.21816667;-73.40069444;4.48519824;5.040408668;4.5;5.042857143;93;0.820741117;0.037172668;2.676896095;-5.74E-05;-2.21E-05;1.627154827;0;1411.353149;6.848585129;0.263172925;86.26190186;6.738098145;485.3671875;0.013692391;5.843621254;4.042668819;0.773247659;98.72914886;0.999421358;1.550833821;1.544292212;0.781085014;3;17;0.574307494
3;AF-002;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.22005556;-73.39905556;5.461828258;6.061722335;5.5;6;90;0.762993753;0.052655909;4.390638351;0.000128091;3.01E-05;5.527992725;0;2230.432373;7.016803741;0.458772033;87.05547333;2.944526672;487.3017578;0.006006219;5.745031834;3.793353081;1.095445156;98.12228394;0.99808681;1.54130125;1.545634627;-0.22458154;3;17;0.520449214
4;AF-003;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;10.21961111;-73.39288889;4.767709995;5.71290122;4.766666667;5.714285714;91;0.715123236;0.074398026;5.176036358;9.25E-06;-0.000141184;-5.868420601;0;900;5.703782558;0.592298925;85.33381653;5.666183472;489.6860352;0.011438696;3.40083456;1.846455455;2.280350924;99.16778564;0.99698931;1.557723999;1.473790169;3.166598082;3;17;0.453434721
5;AF-004;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.36327778;-73.25425;4.66843711;5.666658211;4.8;5.657142857;110.0326843;0.762490749;0.032864068;0.002200765;0.000361875;0.000130323;39.03663635;0;2552.625732;7.856499672;0.267641574;107.82444;2.208244324;488.3212891;0.004501756;5.91508913;3.975388765;0.879814506;97.98833466;0.998779297;1.539197206;1.565797448;-0.952148855;3;17;0.418506397
6;AF-005;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FINA;10.35272222;-73.26388889;4.42789752;6.013716165;4.5;5.985714286;109.0104752;0.785274744;0.000174586;4.712388992;0.000551761;6.08E-05;46.47349167;0;44903.36328;14.21882629;0.00052454;107.1495972;1.860877991;486.5927734;0.003809733;5.909076691;3.694771051;0.003584804;98.8631134;0.999615788;1.552938104;1.561873794;-0.468472034;3;17;0.549560624
7;AF-006;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HUMUSTEPTS;TYPIC HUMUSTEPTS;FINA;10.48816667;-73.26263889;4.762428404;6.757178838;4.866666667;4.785714286;201;0.891124606;0.10631635;2.245537281;0.00089747;-0.000251345;27.95249367;0;3700.070068;6.712029457;1.236797929;193.6885223;7.311477661;425.1621094;0.016906183;0.961571693;0.004323797;2.23606801;94.9624176;0.99225831;1.491666198;1.54846108;-1.677242398;3;17;0.159059738
8;AF-007;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA;10.324;-73.26452778;7.425793935;6.653777274;7.433333333;6.642857143;104.2022552;0.764191985;0.021339666;5.608493805;-9.39E-05;-5.28E-05;-9.117023468;0;3173.431152;8.167974472;0.149055511;104.1590118;0.043243408;500.515625;8.64E-05;6.754002571;1.480615497;0.949176967;97.99370575;0.998870671;1.539281487;1.569914937;-0.43734926;3;17;0.422186746
9;AF-007A;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;DYSTRUSTEPTS;TYPIC DYSTRUSTEPTS;FINA;9.623583333;-74.14225;4.685870623;4.710975305;4.666666667;3.357142857;81.09461975;0.77468729;0.015053432;6.271596432;-6.91E-05;-4.05E-05;-10.45535469;0;19670.1543;10.67027855;0.145674065;81.09331512;0.001304626;625.4399414;2.09E-06;7.477918148;6.795133591;0.404913038;98.80976868;0.999509096;1.552100182;1.570076823;-0.391984671;3;5;0.588567343
10;AF-008;OBSERVACION;OCRICO;CAMBICO;INCEPTISOL;USTEPTS;HAPLUSTEPTS;TYPIC HAPLUSTEPTS;FRANCA FINA SOBRE ARENOSA;10.30377778;-73.25997222;6.470179949;6.721713998;6.5;6.65;103;0.753276348;0.086173445;4.349746227;7.64E-05;-0.000252487;-34.90028;0;1330.900391;5.986910343;0.781138659;102.1545258;0.845474243;511.8725586;0.001649004;0.047454078;0.934825599;1.91934526;97.22159576;0.99545306;1.527153254;1.551796317;0.11795415;3;8;0.506214797
